,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
28,Israel,ISR,12/20/2020,7371.0,7371.0,,7314.0,7314.0,0.09,0.09,,845.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
29,Northern Ireland,,12/20/2020,16068.0,16068.0,,,1778.0,0.85,0.85,,939.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
30,Russia,RUS,12/20/2020,,,,,3357.0,,,,23.0,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
31,UK,GBR,12/20/2020,673216.0,673216.0,,,83874.0,0.99,0.99,,1236.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
32,USA,USA,12/20/2020,556208.0,556208.0,,,,0.17,0.17,,,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
33,Canada,CAN,12/21/2020,,,,,3571.0,,,,95.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
34,China,CHN,12/21/2020,,,,,187500.0,,,,130.0,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
35,Israel,ISR,12/21/2020,32130.0,32130.0,,24759.0,16036.0,0.37,0.37,,1853.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
36,Northern Ireland,,12/21/2020,,,,,1829.0,,,,966.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
37,Russia,RUS,12/21/2020,,,,,3357.0,,,,23.0,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
38,UK,GBR,12/21/2020,,,,,78602.0,,,,1158.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
39,USA,USA,12/21/2020,614117.0,614117.0,,57909.0,57909.0,0.18,0.18,,173.0,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
40,Canada,CAN,12/22/2020,,,,,3571.0,,,,95.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
41,China,CHN,12/22/2020,,,,,187500.0,,,,130.0,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
42,Israel,ISR,12/22/2020,76484.0,76484.0,,44354.0,25476.0,0.88,0.88,,2943.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
43,Northern Ireland,,12/22/2020,,,,,1880.0,,,,993.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
44,Russia,RUS,12/22/2020,52000.0,,,,3357.0,0.04,,,23.0,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
45,UK,GBR,12/22/2020,,,,,73329.0,,,,1080.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
46,USA,USA,12/22/2020,,,,,127432.0,,,,381.0,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
47,Bahrain,BHR,12/23/2020,38965.0,38965.0,,,,2.29,2.29,,,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
48,Canada,CAN,12/23/2020,,,,,3571.0,,,,95.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
49,China,CHN,12/23/2020,,,,,187500.0,,,,130.0,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
50,Israel,ISR,12/23/2020,138668.0,138668.0,,62184.0,34653.0,1.6,1.6,,4004.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
51,Northern Ireland,,12/23/2020,,,,,1931.0,,,,1020.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
52,Russia,RUS,12/23/2020,,,,,12592.0,,,,86.0,Sputnik V,Russian Direct Investment Fund,https://twitter.com/redouad/status/1350030539944820736
53,Switzerland,CHE,12/23/2020,0.0,,,,,0.0,,,,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses
54,UK,GBR,12/23/2020,,,,,68057.0,,,,1003.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
55,USA,USA,12/23/2020,1008025.0,1008025.0,,,150606.0,0.3,0.3,,450.0,"Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
56,Bahrain,BHR,12/24/2020,50071.0,50071.0,,11106.0,11106.0,2.94,2.94,,6527.0,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
57,Canada,CAN,12/24/2020,,,,,3571.0,,,,95.0,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
58,Chile,CHL,12/24/2020,420.0,420.0,,,,0.0,0.0,,,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
59,China,CHN,12/24/2020,,,,,187500.0,,,,130.0,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
60,Costa Rica,CRI,12/24/2020,55.0,,,,,0.0,,,,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
61,Israel,ISR,12/24/2020,211316.0,211316.0,,72648.0,42252.0,2.44,2.44,,4881.0,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
